"Borough","year","count"
"Bronx","2006",421
"Bronx","2007",386
"Bronx","2008",420
"Bronx","2009",412
"Bronx","2010",424
"Bronx","2011",433
"Bronx","2012",410
"Bronx","2013",306
"Bronx","2014",350
"Bronx","2015",335
"Bronx","2016",264
"Bronx","2017",243
"Bronx","2018",230
"Bronx","2019",226
"Bronx","2020",401
"Bronx","2021",534
"Bronx","2022",421
"Brooklyn","2006",673
"Brooklyn","2007",655
"Brooklyn","2008",626
"Brooklyn","2009",612
"Brooklyn","2010",635
"Brooklyn","2011",650
"Brooklyn","2012",538
"Brooklyn","2013",480
"Brooklyn","2014",516
"Brooklyn","2015",472
"Brooklyn","2016",413
"Brooklyn","2017",293
"Brooklyn","2018",309
"Brooklyn","2019",287
"Brooklyn","2020",651
"Brooklyn","2021",512
"Brooklyn","2022",446
"Manhattan","2006",199
"Manhattan","2007",168
"Manhattan","2008",181
"Manhattan","2009",142
"Manhattan","2010",188
"Manhattan","2011",181
"Manhattan","2012",150
"Manhattan","2013",115
"Manhattan","2014",110
"Manhattan","2015",130
"Manhattan","2016",127
"Manhattan","2017",94
"Manhattan","2018",89
"Manhattan","2019",115
"Manhattan","2020",205
"Manhattan","2021",239
"Manhattan","2022",196
"Queens","2006",238
"Queens","2007",193
"Queens","2008",243
"Queens","2009",212
"Queens","2010",199
"Queens","2011",209
"Queens","2012",232
"Queens","2013",159
"Queens","2014",158
"Queens","2015",159
"Queens","2016",157
"Queens","2017",118
"Queens","2018",106
"Queens","2019",124
"Queens","2020",233
"Queens","2021",238
"Queens","2022",190
"Staten Island","2006",35
"Staten Island","2007",39
"Staten Island","2008",50
"Staten Island","2009",41
"Staten Island","2010",27
"Staten Island","2011",36
"Staten Island","2012",41
"Staten Island","2013",43
"Staten Island","2014",38
"Staten Island","2015",42
"Staten Island","2016",36
"Staten Island","2017",41
"Staten Island","2018",20
"Staten Island","2019",24
"Staten Island","2020",41
"Staten Island","2021",37
"Staten Island","2022",28
