"VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Borough","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Income","Poverty","Transit","Unemployment"
"18-24","ASIAN / PACIFIC ISLANDER","M","Queens",4994,2384,2610,9,37.1,2.9,0,46,82981,9.3,22.2,5.7
"25-44","WHITE","M","Queens",4994,2384,2610,9,37.1,2.9,0,46,82981,9.3,22.2,5.7
"25-44","BLACK","M","Queens",4994,2384,2610,9,37.1,2.9,0,46,82981,9.3,22.2,5.7
"25-44","BLACK","M","Queens",4994,2384,2610,9,37.1,2.9,0,46,82981,9.3,22.2,5.7
"25-44","BLACK","M","Queens",4994,2384,2610,9,37.1,2.9,0,46,82981,9.3,22.2,5.7
"18-24","BLACK","M","Queens",3852,1779,2073,4.1,42.6,0,0,53.3,76330,5.4,23.5,9.7
"<18","ASIAN / PACIFIC ISLANDER","M","Queens",7859,3668,4191,12.8,30,3.3,0,52,82004,10.6,24.2,5.8
"18-24","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"25-44","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"18-24","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"25-44","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"25-44","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"<18","BLACK","M","Queens",5230,2192,3038,7.2,1.6,87.2,0,2.8,63156,10.7,43.4,9.1
"<18","BLACK","M","Queens",4113,2012,2101,8.2,4.9,80.9,0.3,4.8,104112,12.6,30.5,3.9
"18-24","BLACK","M","Queens",4113,2012,2101,8.2,4.9,80.9,0.3,4.8,104112,12.6,30.5,3.9
"25-44","BLACK","M","Queens",1321,572,749,7.3,4,83.8,0,0,101473,2,43.7,5.2
"18-24","BLACK","M","Queens",1653,779,874,6.8,1,90.3,0,1.6,77813,4.7,43.3,5.6
"25-44","BLACK","M","Queens",1653,779,874,6.8,1,90.3,0,1.6,77813,4.7,43.3,5.6
"25-44","BLACK","M","Queens",3565,1662,1903,12.1,1,79.1,0.4,3.6,76227,6.9,42.5,15
"25-44","BLACK","M","Queens",3565,1662,1903,12.1,1,79.1,0.4,3.6,76227,6.9,42.5,15
"25-44","BLACK","M","Queens",3565,1662,1903,12.1,1,79.1,0.4,3.6,76227,6.9,42.5,15
"25-44","BLACK","M","Queens",3565,1662,1903,12.1,1,79.1,0.4,3.6,76227,6.9,42.5,15
"25-44","BLACK","M","Queens",3565,1662,1903,12.1,1,79.1,0.4,3.6,76227,6.9,42.5,15
"25-44","BLACK","M","Queens",4439,2255,2184,21.1,6.3,66.1,0,4.4,64858,7.3,29.2,13.1
"18-24","BLACK","M","Queens",1363,819,544,14.1,22.5,21.5,0,40.8,57500,30.9,18.9,3.4
"18-24","WHITE HISPANIC","M","Queens",4311,2176,2135,5.7,79.1,14.6,0,0.3,41172,22.3,23.2,7.3
"18-24","BLACK","M","Queens",3674,1610,2064,11.7,5.4,81.8,0,0.5,93906,5.4,39.7,6.5
