"Borough","VIC_RACE","count"
"Bronx","AMERICAN INDIAN/ALASKAN NATIVE",5
"Bronx","ASIAN / PACIFIC ISLANDER",37
"Bronx","BLACK",3782
"Bronx","BLACK HISPANIC",953
"Bronx","WHITE",96
"Bronx","WHITE HISPANIC",1329
"Brooklyn","AMERICAN INDIAN/ALASKAN NATIVE",2
"Brooklyn","ASIAN / PACIFIC ISLANDER",106
"Brooklyn","BLACK",7383
"Brooklyn","BLACK HISPANIC",421
"Brooklyn","WHITE",193
"Brooklyn","WHITE HISPANIC",643
"Manhattan","ASIAN / PACIFIC ISLANDER",30
"Manhattan","BLACK",1673
"Manhattan","BLACK HISPANIC",370
"Manhattan","WHITE",64
"Manhattan","WHITE HISPANIC",486
"Queens","AMERICAN INDIAN/ALASKAN NATIVE",1
"Queens","ASIAN / PACIFIC ISLANDER",120
"Queens","BLACK",2332
"Queens","BLACK HISPANIC",204
"Queens","WHITE",119
"Queens","WHITE HISPANIC",384
"Staten Island","ASIAN / PACIFIC ISLANDER",2
"Staten Island","BLACK",448
"Staten Island","BLACK HISPANIC",28
"Staten Island","WHITE",68
"Staten Island","WHITE HISPANIC",71
